,Images,Kills,Deaths
995,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14940.jpg,"['zarya', 0.9198004007339478]","['zarya', 0.9198004007339478]"
996,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14955.jpg,"['zarya', 0.9198004007339478]","['zarya', 0.9198004007339478]"
997,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14970.jpg,"['zarya', 0.9198004007339478]","['zarya', 0.9198004007339478]"
998,vod_data/01.04.2019+SF+vs+DAL+RIALTO/14985.jpg,"['zarya', 0.9198004007339478]","['zarya', 0.9198004007339478]"
999,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15000.jpg,"['zarya', 0.9198004007339478]","['zarya', 0.9198004007339478]"
1000,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15015.jpg,"['zarya', 0.9957488179206848]","['ana', 0.9942726492881775]"
1001,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15030.jpg,"['zarya', 0.9961771965026855]","['reinhardt', 0.9997895359992981]"
1002,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15045.jpg,"['zarya', 0.9961771965026855]","['reinhardt', 0.9997895359992981]"
1003,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15060.jpg,"['zarya', 0.9961771965026855]","['reinhardt', 0.9997895359992981]"
1004,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15075.jpg,"['zarya', 0.9961771965026855]","['reinhardt', 0.9997895359992981]"
1005,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15090.jpg,"['zarya', 0.9961771965026855]","['reinhardt', 0.9997895359992981]"
1006,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15105.jpg,"['zarya', 0.9961771965026855]","['reinhardt', 0.9997895359992981]"
1007,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15120.jpg,"['zarya', 0.9961771965026855]","['reinhardt', 0.9997895359992981]"
1008,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15135.jpg,"['zarya', 0.9961771965026855]","['reinhardt', 0.9997895359992981]"
1009,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15150.jpg,"['zarya', 0.99613356590271]","['reinhardt', 0.9997915625572205]"
1010,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15165.jpg,"['zarya', 0.9960604310035706]","['reinhardt', 0.9997883439064026]"
1011,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15180.jpg,"['zarya', 0.9960604310035706]","['reinhardt', 0.9997883439064026]"
1012,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15195.jpg,"['zarya', 0.9960668683052063]","['reinhardt', 0.9997883439064026]"
1013,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15210.jpg,"['zarya', 0.9960604310035706]","['reinhardt', 0.9997883439064026]"
1014,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15225.jpg,"['zarya', 0.9961089491844177]","['reinhardt', 0.999788224697113]"
1015,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15240.jpg,"['zarya', 0.9961077570915222]","['reinhardt', 0.999788224697113]"
1016,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15255.jpg,"['zarya', 0.9961077570915222]","['reinhardt', 0.999788224697113]"
1017,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15270.jpg,"['zarya', 0.9961077570915222]","['reinhardt', 0.999788224697113]"
1018,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15285.jpg,"['zarya', 0.9961077570915222]","['reinhardt', 0.999788224697113]"
1019,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15300.jpg,"['zarya', 0.9961077570915222]","['reinhardt', 0.999788224697113]"
1020,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15315.jpg,"['zarya', 0.9961077570915222]","['reinhardt', 0.999788224697113]"
1021,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15330.jpg,"['zarya', 0.9961077570915222]","['reinhardt', 0.999788224697113]"
1022,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15345.jpg,"['zarya', 0.9961077570915222]","['reinhardt', 0.999788224697113]"
1023,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15360.jpg,"['zarya', 0.9961077570915222]","['reinhardt', 0.999788224697113]"
1024,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15375.jpg,"['zarya', 0.9961077570915222]","['reinhardt', 0.999788224697113]"
1025,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15390.jpg,"['zarya', 0.9211836457252502]","['zarya', 0.9211836457252502]"
1026,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15405.jpg,"['zarya', 0.9221909642219543]","['zarya', 0.9221909642219543]"
1027,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15420.jpg,"['zarya', 0.9191752076148987]","['zarya', 0.9191752076148987]"
1028,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15435.jpg,"['zarya', 0.920971155166626]","['zarya', 0.920971155166626]"
1029,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15450.jpg,"['zarya', 0.9191322922706604]","['zarya', 0.9191322922706604]"
1030,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15465.jpg,"['zarya', 0.9191322922706604]","['zarya', 0.9191322922706604]"
1031,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15480.jpg,"['zarya', 0.9191322922706604]","['zarya', 0.9191322922706604]"
1032,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15495.jpg,"['zarya', 0.9191322922706604]","['zarya', 0.9191322922706604]"
1033,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15510.jpg,"['zarya', 0.9191322922706604]","['zarya', 0.9191322922706604]"
1034,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15525.jpg,"['zarya', 0.9191322922706604]","['zarya', 0.9191322922706604]"
1035,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15540.jpg,"['zarya', 0.9191322922706604]","['zarya', 0.9191322922706604]"
1036,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15555.jpg,"['zarya', 0.9191322922706604]","['zarya', 0.9191322922706604]"
1037,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15570.jpg,"['zarya', 0.9191322922706604]","['zarya', 0.9191322922706604]"
1038,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15585.jpg,"['zarya', 0.9191322922706604]","['zarya', 0.9191322922706604]"
1039,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15600.jpg,"['zarya', 0.9191322922706604]","['zarya', 0.9191322922706604]"
1040,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15615.jpg,"['zarya', 0.9191322922706604]","['zarya', 0.9191322922706604]"
1041,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15630.jpg,"['zarya', 0.9191322922706604]","['zarya', 0.9191322922706604]"
1042,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15645.jpg,"['zarya', 0.9191322922706604]","['zarya', 0.9191322922706604]"
1043,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15660.jpg,"['zarya', 0.9221168160438538]","['zarya', 0.9221168160438538]"
1044,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15675.jpg,"['zarya', 0.9215695261955261]","['zarya', 0.9215695261955261]"
1045,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15690.jpg,"['zarya', 0.9209532141685486]","['zarya', 0.9209532141685486]"
1046,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15705.jpg,"['zarya', 0.9209893941879272]","['zarya', 0.9209893941879272]"
1047,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15720.jpg,"['zarya', 0.9209893941879272]","['zarya', 0.9209893941879272]"
1048,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15735.jpg,"['zarya', 0.9209893941879272]","['zarya', 0.9209893941879272]"
1049,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15750.jpg,"['zarya', 0.9209893941879272]","['zarya', 0.9209893941879272]"
1050,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15765.jpg,"['zarya', 0.9209893941879272]","['zarya', 0.9209893941879272]"
1051,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15780.jpg,"['zarya', 0.9209893941879272]","['zarya', 0.9209893941879272]"
1052,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15795.jpg,"['zarya', 0.9208936095237732]","['zarya', 0.9208936095237732]"
1053,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15810.jpg,"['zarya', 0.9222606420516968]","['zarya', 0.9222606420516968]"
1054,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15825.jpg,"['zarya', 0.9230352640151978]","['zarya', 0.9230352640151978]"
1055,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15840.jpg,"['zarya', 0.9221232533454895]","['zarya', 0.9221232533454895]"
1056,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15855.jpg,"['zarya', 0.9209877848625183]","['zarya', 0.9209877848625183]"
1057,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15870.jpg,"['zarya', 0.9205166101455688]","['zarya', 0.9205166101455688]"
1058,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15885.jpg,"['zarya', 0.9229549169540405]","['zarya', 0.9229549169540405]"
1059,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15900.jpg,"['zarya', 0.923281729221344]","['zarya', 0.923281729221344]"
1060,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15915.jpg,"['zarya', 0.9192731380462646]","['zarya', 0.9192731380462646]"
1061,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15930.jpg,"['zarya', 0.9198973178863525]","['zarya', 0.9198973178863525]"
1062,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15945.jpg,"['zarya', 0.9198973178863525]","['zarya', 0.9198973178863525]"
1063,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15960.jpg,"['zarya', 0.9203832745552063]","['zarya', 0.9203832745552063]"
1064,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15975.jpg,"['zarya', 0.9203832745552063]","['zarya', 0.9203832745552063]"
1065,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15990.jpg,"['zarya', 0.9203832745552063]","['zarya', 0.9203832745552063]"
1066,vod_data/01.04.2019+SF+vs+DAL+RIALTO/16005.jpg,"['zarya', 0.9203832745552063]","['zarya', 0.9203832745552063]"
1067,vod_data/01.04.2019+SF+vs+DAL+RIALTO/16020.jpg,"['zarya', 0.9203832745552063]","['zarya', 0.9203832745552063]"
1068,vod_data/01.04.2019+SF+vs+DAL+RIALTO/16035.jpg,"['zarya', 0.9203832745552063]","['zarya', 0.9203832745552063]"
1069,vod_data/01.04.2019+SF+vs+DAL+RIALTO/16050.jpg,"['zarya', 0.9203832745552063]","['zarya', 0.9203832745552063]"
1070,vod_data/01.04.2019+SF+vs+DAL+RIALTO/16065.jpg,"['zarya', 0.9204443097114563]","['zarya', 0.9204443097114563]"
1071,vod_data/01.04.2019+SF+vs+DAL+RIALTO/16080.jpg,"['zarya', 0.9222524166107178]","['zarya', 0.9222524166107178]"
1072,vod_data/01.04.2019+SF+vs+DAL+RIALTO/16095.jpg,"['zarya', 0.9204492568969727]","['zarya', 0.9204492568969727]"
1073,vod_data/01.04.2019+SF+vs+DAL+RIALTO/16110.jpg,"['zarya', 0.9206730723381042]","['zarya', 0.9206730723381042]"
1074,vod_data/01.04.2019+SF+vs+DAL+RIALTO/16125.jpg,"['zarya', 0.9197463989257812]","['zarya', 0.9197463989257812]"
1075,vod_data/01.04.2019+SF+vs+DAL+RIALTO/16140.jpg,"['zarya', 0.920224666595459]","['zarya', 0.920224666595459]"
1076,vod_data/01.04.2019+SF+vs+DAL+RIALTO/16155.jpg,"['zarya', 0.9216568470001221]","['zarya', 0.9216568470001221]"
1077,vod_data/01.04.2019+SF+vs+DAL+RIALTO/16170.jpg,"['zarya', 0.9207779169082642]","['zarya', 0.9207779169082642]"
1078,vod_data/01.04.2019+SF+vs+DAL+RIALTO/16185.jpg,"['zarya', 0.9206728935241699]","['zarya', 0.9206728935241699]"
