,Images,Kills,Deaths,Kills_Colors,Deaths_Colors
2627,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39420.jpg,"['hammond', 0.1314205378293991]","['hammond', 0.1314205378293991]",no kill,no kill
2628,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39435.jpg,"['hammond', 0.13151587545871735]","['hammond', 0.13151587545871735]",no kill,no kill
2629,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39450.jpg,"['hammond', 0.12098805606365204]","['hammond', 0.12098805606365204]",no kill,no kill
2630,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39465.jpg,"['hammond', 0.12669599056243896]","['hammond', 0.12669599056243896]",no kill,no kill
2631,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39480.jpg,"['hammond', 0.12978386878967285]","['hammond', 0.12978386878967285]",no kill,no kill
2632,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39495.jpg,"['hammond', 0.12978386878967285]","['hammond', 0.12978386878967285]",no kill,no kill
2633,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39510.jpg,"['hammond', 0.12978386878967285]","['hammond', 0.12978386878967285]",no kill,no kill
2634,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39525.jpg,"['hammond', 0.12978386878967285]","['hammond', 0.12978386878967285]",no kill,no kill
2635,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39540.jpg,"['hammond', 0.12978386878967285]","['hammond', 0.12978386878967285]",no kill,no kill
2636,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39555.jpg,"['hammond', 0.13125306367874146]","['hammond', 0.13125306367874146]",no kill,no kill
2637,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39570.jpg,"['hammond', 0.13076120615005493]","['hammond', 0.13076120615005493]",no kill,no kill
2638,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39585.jpg,"['hammond', 0.13045428693294525]","['hammond', 0.13045428693294525]",no kill,no kill
2639,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39600.jpg,"['hammond', 0.11573190987110138]","['hammond', 0.11573190987110138]",no kill,no kill
2640,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39615.jpg,"['hammond', 0.13435377180576324]","['hammond', 0.13435377180576324]",no kill,no kill
2641,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39630.jpg,"['hammond', 0.13686271011829376]","['hammond', 0.13686271011829376]",no kill,no kill
2642,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39645.jpg,"['hammond', 0.13684089481830597]","['hammond', 0.13684089481830597]",no kill,no kill
2643,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39660.jpg,"['hammond', 0.13042476773262024]","['hammond', 0.13042476773262024]",no kill,no kill
2644,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39675.jpg,"['hammond', 0.13084617257118225]","['hammond', 0.13084617257118225]",no kill,no kill
2645,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39690.jpg,"['hammond', 0.13084617257118225]","['hammond', 0.13084617257118225]",no kill,no kill
2646,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39705.jpg,"['hammond', 0.13004232943058014]","['hammond', 0.13004232943058014]",no kill,no kill
2647,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39720.jpg,"['hammond', 0.13038648664951324]","['hammond', 0.13038648664951324]",no kill,no kill
2648,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39735.jpg,"['hammond', 0.13038648664951324]","['hammond', 0.13038648664951324]",no kill,no kill
2649,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39750.jpg,"['hammond', 0.13092729449272156]","['hammond', 0.13092729449272156]",no kill,no kill
2650,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39765.jpg,"['hammond', 0.1315878927707672]","['hammond', 0.1315878927707672]",no kill,no kill
2651,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39780.jpg,"['hammond', 0.13051779568195343]","['hammond', 0.13051779568195343]",no kill,no kill
2652,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39795.jpg,"['hammond', 0.13356329500675201]","['hammond', 0.13356329500675201]",no kill,no kill
2653,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39810.jpg,"['hammond', 0.12243270128965378]","['hammond', 0.12243270128965378]",no kill,no kill
2654,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39825.jpg,"['hammond', 0.12279807776212692]","['hammond', 0.12279807776212692]",no kill,no kill
2655,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39840.jpg,"['hammond', 0.12253996729850769]","['hammond', 0.12253996729850769]",no kill,no kill
2656,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39855.jpg,"['hammond', 0.12275014072656631]","['hammond', 0.12275014072656631]",no kill,no kill
2657,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39870.jpg,"['hammond', 0.12265650928020477]","['hammond', 0.12265650928020477]",no kill,no kill
2658,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39885.jpg,"['hammond', 0.12265650928020477]","['hammond', 0.12265650928020477]",no kill,no kill
2659,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39900.jpg,"['hammond', 0.13009975850582123]","['hammond', 0.13009975850582123]",no kill,no kill
2660,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39915.jpg,"['hammond', 0.1314338892698288]","['hammond', 0.1314338892698288]",no kill,no kill
2661,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39930.jpg,"['hammond', 0.1314338892698288]","['hammond', 0.1314338892698288]",no kill,no kill
2662,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39945.jpg,"['hammond', 0.1314338892698288]","['hammond', 0.1314338892698288]",no kill,no kill
2663,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39960.jpg,"['hammond', 0.1314338892698288]","['hammond', 0.1314338892698288]",no kill,no kill
2664,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39975.jpg,"['hammond', 0.1314338892698288]","['hammond', 0.1314338892698288]",no kill,no kill
2665,vod_data/01.04.2019+SF+vs+DAL+RIALTO/39990.jpg,"['hammond', 0.1314338892698288]","['hammond', 0.1314338892698288]",no kill,no kill
2666,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40005.jpg,"['hammond', 0.1314338892698288]","['hammond', 0.1314338892698288]",no kill,no kill
2667,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40020.jpg,"['hammond', 0.1314338892698288]","['hammond', 0.1314338892698288]",no kill,no kill
2668,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40035.jpg,"['hammond', 0.1314338892698288]","['hammond', 0.1314338892698288]",no kill,no kill
2669,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40050.jpg,"['hammond', 0.1314338892698288]","['hammond', 0.1314338892698288]",no kill,no kill
2670,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40065.jpg,"['hammond', 0.1314338892698288]","['hammond', 0.1314338892698288]",no kill,no kill
2671,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40080.jpg,"['hammond', 0.1314338892698288]","['hammond', 0.1314338892698288]",no kill,no kill
2672,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40095.jpg,"['hammond', 0.1314338892698288]","['hammond', 0.1314338892698288]",no kill,no kill
2673,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40110.jpg,"['hammond', 0.1314338892698288]","['hammond', 0.1314338892698288]",no kill,no kill
2674,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40125.jpg,"['hammond', 0.1314338892698288]","['hammond', 0.1314338892698288]",no kill,no kill
2675,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40140.jpg,"['hammond', 0.1314338892698288]","['hammond', 0.1314338892698288]",no kill,no kill
2676,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40155.jpg,"['hammond', 0.1327669471502304]","['hammond', 0.1327669471502304]",no kill,no kill
2677,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40170.jpg,"['hammond', 0.13304993510246277]","['hammond', 0.13304993510246277]",no kill,no kill
2678,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40185.jpg,"['hammond', 0.13304993510246277]","['hammond', 0.13304993510246277]",no kill,no kill
2679,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40200.jpg,"['hammond', 0.13304993510246277]","['hammond', 0.13304993510246277]",no kill,no kill
2680,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40215.jpg,"['hammond', 0.13304993510246277]","['hammond', 0.13304993510246277]",no kill,no kill
2681,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40230.jpg,"['hammond', 0.13304993510246277]","['hammond', 0.13304993510246277]",no kill,no kill
2682,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40245.jpg,"['hammond', 0.13304993510246277]","['hammond', 0.13304993510246277]",no kill,no kill
2683,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40260.jpg,"['hammond', 0.13304993510246277]","['hammond', 0.13304993510246277]",no kill,no kill
2684,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40275.jpg,"['hammond', 0.13304993510246277]","['hammond', 0.13304993510246277]",no kill,no kill
2685,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40290.jpg,"['hammond', 0.13304993510246277]","['hammond', 0.13304993510246277]",no kill,no kill
2686,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40305.jpg,"['hammond', 0.13304993510246277]","['hammond', 0.13304993510246277]",no kill,no kill
2687,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40320.jpg,"['hammond', 0.13304993510246277]","['hammond', 0.13304993510246277]",no kill,no kill
2688,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40335.jpg,"['hammond', 0.13304993510246277]","['hammond', 0.13304993510246277]",no kill,no kill
2689,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40350.jpg,"['hammond', 0.13304993510246277]","['hammond', 0.13304993510246277]",no kill,no kill
2690,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40365.jpg,"['hammond', 0.13304993510246277]","['hammond', 0.13304993510246277]",no kill,no kill
2691,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40380.jpg,"['hammond', 0.12816274166107178]","['hammond', 0.12816274166107178]",no kill,no kill
2692,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40395.jpg,"['hammond', 0.1307360827922821]","['hammond', 0.1307360827922821]",no kill,no kill
2693,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40410.jpg,"['hammond', 0.13000713288784027]","['hammond', 0.13000713288784027]",no kill,no kill
2694,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40425.jpg,"['hammond', 0.12330766767263412]","['hammond', 0.12330766767263412]",no kill,no kill
2695,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40440.jpg,"['hammond', 0.1332373321056366]","['hammond', 0.1332373321056366]",no kill,no kill
2696,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40455.jpg,"['hammond', 0.13177084922790527]","['hammond', 0.13177084922790527]",no kill,no kill
2697,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40470.jpg,"['hammond', 0.1321791112422943]","['hammond', 0.1321791112422943]",no kill,no kill
2698,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40485.jpg,"['hammond', 0.1321791112422943]","['hammond', 0.1321791112422943]",no kill,no kill
2699,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40500.jpg,"['hammond', 0.13151049613952637]","['hammond', 0.13151049613952637]",no kill,no kill
2700,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40515.jpg,"['hammond', 0.13210119307041168]","['hammond', 0.13210119307041168]",no kill,no kill
2701,vod_data/01.04.2019+SF+vs+DAL+RIALTO/40530.jpg,"['hammond', 0.13210119307041168]","['hammond', 0.13210119307041168]",no kill,no kill
