,Image,Date,Map,Opponent,Roundtype,Duration,GameState,Paused,Kills,Deaths,Name 1,Hero 1,Accuracy 1,Ult_Charge 1,Ult_Accuracy 1,Name 2,Hero 2,Accuracy 2,Ult_Charge 2,Ult_Accuracy 2,Name 3,Hero 3,Accuracy 3,Ult_Charge 3,Ult_Accuracy 3,Name 4,Hero 4,Accuracy 4,Ult_Charge 4,Ult_Accuracy 4,Name 5,Hero 5,Accuracy 5,Ult_Charge 5,Ult_Accuracy 5,Name 6,Hero 6,Accuracy 6,Ult_Charge 6,Ult_Accuracy 6,Name 7,Hero 7,Accuracy 7,Ult_Charge 7,Ult_Accuracy 7,Name 8,Hero 8,Accuracy 8,Ult_Charge 8,Ult_Accuracy 8,Name 9,Hero 9,Accuracy 9,Ult_Charge 9,Ult_Accuracy 9,Name 10,Hero 10,Accuracy 10,Ult_Charge 10,Ult_Accuracy 10,Name 11,Hero 11,Accuracy 11,Ult_Charge 11,Ult_Accuracy 11,Name 12,Hero 12,Accuracy 12,Ult_Charge 12,Ult_Accuracy 12
150,vod_data/01.04.2019+SF+vs+DAL+BUSAN/31935.jpg,4/1/2019,BUSAN,DAL,SANCTUARY,418,ingame,live,"['RASCAL', 'brig']","['AKM', 'zarya']",SUPER,reinhardt,0.999994636,charged,0.999322772,CHOIHYOBIN,dva,0.999889374,uncharged,0.996267736,SINATRAA,zarya,0.952104688,uncharged,0.999319077,RASCAL,brig,0.999999642,uncharged,0.998962283,MOTH,lucio,0.999997735,charged,0.998715997,NIGHTHAWK,zenyatta,0.989884377,uncharged,0.994081199,OGE,reinhardt,1,uncharged,0.999957681,PERALTA,dva,1,charged,0.999814212,AKM,zarya,1,charged,0.99981755,ZACHAREEE,baptiste,0.999999881,charged,0.997528136,UNKOE,zenyatta,0.999999881,charged,0.999543965,GOO6,lucio,0.999999046,charged,0.999761403
151,vod_data/01.04.2019+SF+vs+DAL+BUSAN/32235.jpg,4/1/2019,BUSAN,DAL,SANCTUARY,423,ingame,live,"['NIGHTHAWK', 'zenyatta']","['OGE', 'reinhardt']",SUPER,reinhardt,0.999994636,charged,0.999322772,CHOIHYOBIN,dva,0.999889374,uncharged,0.996267736,SINATRAA,zarya,0.952104688,uncharged,0.999319077,RASCAL,brig,0.999999642,uncharged,0.998962283,MOTH,lucio,0.999997735,charged,0.998715997,NIGHTHAWK,zenyatta,0.989884377,uncharged,0.994081199,OGE,reinhardt,1,uncharged,0.999957681,PERALTA,dva,1,charged,0.999814212,AKM,zarya,1,charged,0.99981755,ZACHAREEE,baptiste,0.999999881,charged,0.997528136,UNKOE,zenyatta,0.999999881,charged,0.999543965,GOO6,lucio,0.999999046,charged,0.999761403
152,vod_data/01.04.2019+SF+vs+DAL+BUSAN/32385.jpg,4/1/2019,BUSAN,DAL,SANCTUARY,425.5,ingame,live,"['', '']","['', '']",SUPER,reinhardt,0.999994636,charged,0.999322772,CHOIHYOBIN,dva,0.999889374,uncharged,0.996267736,SINATRAA,zarya,0.952104688,charged,0.999607384,RASCAL,brig,0.999999642,uncharged,0.998962283,MOTH,lucio,0.999997735,charged,0.998715997,NIGHTHAWK,zenyatta,0.989884377,uncharged,0.994081199,OGE,reinhardt,1,uncharged,0.999957681,PERALTA,dva,1,charged,0.999814212,AKM,zarya,1,charged,0.99981755,ZACHAREEE,baptiste,0.999999881,charged,0.997528136,UNKOE,zenyatta,0.999999881,charged,0.999543965,GOO6,lucio,0.999999046,charged,0.999761403
153,vod_data/01.04.2019+SF+vs+DAL+BUSAN/32445.jpg,4/1/2019,BUSAN,DAL,SANCTUARY,426.5,ingame,live,"['NIGHTHAWK', 'zenyatta']","['UNKOE', 'zenyatta']",SUPER,reinhardt,0.999994636,charged,0.999322772,CHOIHYOBIN,dva,0.999889374,uncharged,0.996267736,SINATRAA,zarya,0.952104688,charged,0.999607384,RASCAL,brig,0.999999642,uncharged,0.998962283,MOTH,lucio,0.999997735,charged,0.998715997,NIGHTHAWK,zenyatta,0.989884377,uncharged,0.994081199,OGE,reinhardt,1,uncharged,0.999957681,PERALTA,dva,1,charged,0.999814212,AKM,zarya,1,charged,0.99981755,ZACHAREEE,baptiste,0.999999881,charged,0.997528136,UNKOE,zenyatta,0.999999881,charged,0.999543965,GOO6,lucio,0.999999046,charged,0.999761403
154,vod_data/01.04.2019+SF+vs+DAL+BUSAN/32505.jpg,4/1/2019,BUSAN,DAL,SANCTUARY,427.5,ingame,live,"['', '']","['', '']",SUPER,reinhardt,0.999994636,charged,0.999322772,CHOIHYOBIN,dva,0.999889374,uncharged,0.996267736,SINATRAA,zarya,0.952104688,charged,0.999607384,RASCAL,brig,0.999999642,uncharged,0.998962283,MOTH,lucio,0.999997735,charged,0.998715997,NIGHTHAWK,zenyatta,0.989884377,uncharged,0.994081199,OGE,reinhardt,1,uncharged,0.999957681,PERALTA,dva,1,charged,0.999814212,AKM,zarya,1,charged,0.99981755,ZACHAREEE,baptiste,0.999999881,uncharged,0.999892592,UNKOE,zenyatta,0.999999881,charged,0.999543965,GOO6,lucio,0.999999046,charged,0.999761403
155,vod_data/01.04.2019+SF+vs+DAL+BUSAN/32625.jpg,4/1/2019,BUSAN,DAL,SANCTUARY,429.5,ingame,live,"['CHOIHYOBIN', 'dva']","['ZACHAREEE', 'baptiste']",SUPER,reinhardt,0.999994636,charged,0.999322772,CHOIHYOBIN,dva,0.999889374,uncharged,0.996267736,SINATRAA,zarya,0.952104688,charged,0.999607384,RASCAL,brig,0.999999642,uncharged,0.998962283,MOTH,lucio,0.999997735,charged,0.998715997,NIGHTHAWK,zenyatta,0.989884377,uncharged,0.994081199,OGE,reinhardt,1,uncharged,0.999957681,PERALTA,dva,1,charged,0.999814212,AKM,zarya,1,charged,0.99981755,ZACHAREEE,baptiste,0.999999881,uncharged,0.999892592,UNKOE,zenyatta,0.999999881,charged,0.999543965,GOO6,lucio,0.999999046,charged,0.999761403
156,vod_data/01.04.2019+SF+vs+DAL+BUSAN/32775.jpg,4/1/2019,BUSAN,DAL,SANCTUARY,432,ingame,live,"['RASCAL', 'brig']","['GOO6', 'lucio']",SUPER,reinhardt,0.999994636,charged,0.999322772,CHOIHYOBIN,dva,0.999889374,uncharged,0.996267736,SINATRAA,zarya,0.952104688,charged,0.999607384,RASCAL,brig,0.999999642,uncharged,0.998962283,MOTH,lucio,0.999997735,charged,0.998715997,NIGHTHAWK,zenyatta,0.989884377,uncharged,0.994081199,OGE,reinhardt,1,uncharged,0.999957681,PERALTA,dva,1,charged,0.999814212,AKM,zarya,1,charged,0.99981755,ZACHAREEE,baptiste,0.999999881,uncharged,0.999892592,UNKOE,zenyatta,0.999999881,charged,0.999543965,GOO6,lucio,0.999999046,charged,0.999761403
157,vod_data/01.04.2019+SF+vs+DAL+BUSAN/33975.jpg,4/1/2019,BUSAN,DAL,SANCTUARY,452,ingame,live,"['', '']","['', '']",SUPER,reinhardt,0.999994636,charged,0.999322772,CHOIHYOBIN,dva,0.999889374,uncharged,0.996267736,SINATRAA,zarya,0.952104688,charged,0.999607384,RASCAL,brig,0.999999642,uncharged,0.998962283,MOTH,lucio,0.999997735,charged,0.998715997,NIGHTHAWK,zenyatta,0.989884377,charged,0.998970032,OGE,reinhardt,1,uncharged,0.999957681,PERALTA,dva,1,charged,0.999814212,AKM,zarya,1,charged,0.99981755,ZACHAREEE,baptiste,0.999999881,uncharged,0.999892592,UNKOE,zenyatta,0.999999881,charged,0.999543965,GOO6,lucio,0.999999046,charged,0.999761403
158,vod_data/01.04.2019+SF+vs+DAL+BUSAN/34920.jpg,4/1/2019,BUSAN,DAL,SANCTUARY,467.75,ingame,live,"['OGE', 'reinhardt']","['RASCAL', 'brig']",SUPER,reinhardt,0.999994636,charged,0.999322772,CHOIHYOBIN,dva,0.999889374,uncharged,0.996267736,SINATRAA,zarya,0.952104688,charged,0.999607384,RASCAL,brig,0.999999642,uncharged,0.998962283,MOTH,lucio,0.999997735,charged,0.998715997,NIGHTHAWK,zenyatta,0.989884377,charged,0.998970032,OGE,reinhardt,1,uncharged,0.999957681,PERALTA,dva,1,charged,0.999814212,AKM,zarya,1,charged,0.99981755,ZACHAREEE,baptiste,0.999999881,uncharged,0.999892592,UNKOE,zenyatta,0.999999881,charged,0.999543965,GOO6,lucio,0.999999046,charged,0.999761403
159,vod_data/01.04.2019+SF+vs+DAL+BUSAN/34965.jpg,4/1/2019,BUSAN,DAL,SANCTUARY,468.5,ingame,live,"['', '']","['', '']",SUPER,reinhardt,0.999994636,charged,0.999322772,CHOIHYOBIN,dva,0.999889374,uncharged,0.996267736,SINATRAA,zarya,0.952104688,charged,0.999607384,RASCAL,brig,0.999999642,uncharged,0.998962283,MOTH,lucio,0.999997735,charged,0.998715997,NIGHTHAWK,zenyatta,0.989884377,charged,0.998970032,OGE,reinhardt,1,charged,0.972973645,PERALTA,dva,1,charged,0.999814212,AKM,zarya,1,charged,0.99981755,ZACHAREEE,baptiste,0.999999881,uncharged,0.999892592,UNKOE,zenyatta,0.999999881,charged,0.999543965,GOO6,lucio,0.999999046,charged,0.999761403
